,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,jO263zcQG2A,18.14.02,LE JOURNAL - MARDI 13 FEVRIER 2018,Le Média,25,2018-02-13T19:40:13.000Z,"Le Média""|""Indépendant""|""Télévision""|""Actualités""|""Politiques""|""Divertissement""|""Ecologie""|""Social",11322,2044,14,80,https://i.ytimg.com/vi/jO263zcQG2A/default.jpg,False,False,False
1,oD1CLuB-U0g,18.14.02,Le burnout de K2000 !,AKRAMJUNIOR DAILY,2,2018-02-13T17:00:05.000Z,"k200""|""pontiac""|""akramjunior",53230,2132,45,331,https://i.ytimg.com/vi/oD1CLuB-U0g/default.jpg,False,False,False
2,tJtYqZaWFdU,18.14.02,J'ESSAYE DES OBJETS INSOLITES ! #2,Alexandre Calvez,26,2018-02-11T18:00:06.000Z,"Alexandre Calvez""|""Crash Test""|""Alexandre""|""Calvez""|""Tests""|""Plateau Buddha Board""|""lampe 3d""|""pegboard cactus""|""unboxing objets insolites""|""unboxing objets originaux""|""unboxing alexandre calvez",586529,25939,1306,836,https://i.ytimg.com/vi/tJtYqZaWFdU/default.jpg,False,False,False
3,4fQU81HTsns,18.14.02,After Foot du lundi 12/02 – Partie 3/6 - Les questions de l'After,AFTER FOOT,17,2018-02-12T23:25:54.000Z,"BFMSPORTBOOST""|""afterfoot""|""football""|""debat""|""strategie""|""reactions""|""gilbert brisbois""|""compte-rendus""|""sport""|""rmc""|""rmcsport""|""radio""|""opinion""|""questions de l'after""|""genesio""|""fekir""|""jean-louis tourre""|""daniel riolo""|""pierre ducrocq",10614,0,0,0,https://i.ytimg.com/vi/4fQU81HTsns/default.jpg,True,True,False
4,lGYLkLJUU5Y,18.14.02,Recette EXPRESS : POULET GINGEMBRE à la vietnamienne,Hervé Cuisine,26,2018-02-13T07:00:01.000Z,"recette""|""cuisine""|""recette poulet""|""recette poulet facile""|""poulet au gingembre""|""poulet vietnamien""|""recette facile et rapide""|""idée recette rapide""|""cuisine vietnamienne""|""recette gingembre""|""recette saint valentin""|""hervé""|""herve""|""hervecuisine""|""hervé cuisine",15366,992,20,79,https://i.ytimg.com/vi/lGYLkLJUU5Y/default.jpg,False,False,False
5,IY8qN5yHuj4,18.14.02,Actu Expliquée 13.02 - C'était chaud à l'ONU : Nikky Haley déballe Kabila et déclasse She Okitundu,TSHANGU TV1,25,2018-02-13T23:37:19.000Z,[none],21964,711,50,147,https://i.ytimg.com/vi/IY8qN5yHuj4/default.jpg,False,False,False
6,opNiqKgWboQ,18.14.02,Ma réaction face à ce policier - True Story,FabienOlicard,24,2018-02-14T05:00:01.000Z,"true story""|""story time""|""fabien olicard""|""police""|""policier""|""venu""|""mentalisme""|""mentaliste""|""enquête",37173,6285,38,298,https://i.ytimg.com/vi/opNiqKgWboQ/default.jpg,False,False,False
7,uzXCS3ukeBY,18.14.02,"Jeu vidéo et Histoire, pour le meilleur ou pour le pire? - History’s Creed x Nota Bene - ARTE",ARTE Creative,24,2018-02-13T16:00:03.000Z,"ARTE""|""pop""|""call of duty""|""assassins creed""|""jeu video""|""videogame""|""nota bene""|""gaming""|""battlefield""|""call of""|""wow""|""god of war""|""history""|""histoire""|""arte creative""|""historys creed""|""world of warcraft""|""the witcher",15300,1752,12,76,https://i.ytimg.com/vi/uzXCS3ukeBY/default.jpg,False,False,False
8,FpmY_l5QZwY,18.14.02,Spot Mag 208 - Rencontre avec Kiara,Disney Channel FR,24,2018-02-13T18:30:00.000Z,"Disney Channel""|""spot mag""|""spotmag""|""interview""|""Kiara""|""Kiara Amt""|""musically""|""charly spotmag""|""nouvelle formule""|""questions relax""|""interview playback""|""battle de cheveux",24383,1562,57,132,https://i.ytimg.com/vi/FpmY_l5QZwY/default.jpg,False,False,False
9,nR5zJN2gFOk,18.14.02,"REAL-PSG - 3 RONALDO VS 3 NEYMAR, DES COMPOS DE FOLIE !",Skinra,20,2018-02-13T16:30:02.000Z,"ps4""|""gaming""|""jeux""|""foot""|""football""|""gameplay""|""défi""|""fr""|""français""|""france""|""skiera""|""skinnra""|""Skinra""|""skinera""|""real""|""psg""|""real psg""|""ldc""|""l1""|""ligue des champions""|""champions league""|""cl""|""psg real""|""match""|""ronaldo""|""neymar""|""paris saint germain""|""paris""|""real madrid""|""paris real""|""but""|""goal""|""pronostic""|""analyse""|""fifa18""|""FIFA""|""FIFA 18""|""simulation""|""commentary",15806,1094,15,304,https://i.ytimg.com/vi/nR5zJN2gFOk/default.jpg,False,False,False
